# bench_static_markup_with_demo_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
0,42,1907,0,4,0,0,0,0
1,420917,420808,0,402,1041,0,0,0
2,76917,77009,0,801,2082,0,0,0
3,68875,68664,0,1200,3123,0,0,0
4,151250,151872,0,1598,4164,0,0,0
5,102292,103235,0,1997,5205,0,0,0
6,164750,164747,0,2396,6246,0,0,0
7,125500,125885,0,2794,7287,0,0,0
8,204583,205039,0,3193,8328,0,0,0
9,161917,162124,0,3591,9369,0,0,0
10,206083,205755,0,3990,10410,0,0,0
11,181417,180959,0,4389,11451,0,0,0
12,201375,202178,0,4787,12492,0,0,0
13,250417,250816,0,5186,13533,0,0,0
14,250916,251054,0,5585,14574,0,0,0
15,263584,264406,0,5983,15615,0,0,0
16,275667,276088,0,6382,16656,0,0,0
17,309958,310182,0,6780,17697,0,0,0
18,285667,286102,0,7179,18738,0,0,0
19,390625,391244,0,7578,19779,0,0,0
20,354292,354051,0,7976,20820,0,0,0
21,354500,353813,0,8375,21861,0,0,0
22,360000,360012,0,8774,22902,0,0,0
23,369959,370264,0,9172,23943,0,0,0
24,420625,421047,0,9571,24984,0,0,0
25,401625,401258,0,9969,26025,0,0,0
26,449250,448703,0,10368,27066,0,0,0
27,444875,446081,0,10767,28107,0,0,0
28,446291,446081,0,11165,29148,0,0,0
29,474250,473976,0,11564,30189,0,0,0
30,499333,499010,0,11963,31230,0,0,0
31,514625,514745,0,12361,32271,0,0,0
32,573792,574111,0,12760,33312,0,0,0
33,545417,544786,0,13158,34353,0,0,0
34,559000,558853,0,13557,35394,0,0,0
35,574292,573873,0,13956,36435,0,0,0
36,656625,656843,0,14354,37476,0,0,0
37,615291,615119,0,14753,38517,0,0,0
38,641625,642061,0,15152,39558,0,0,0
39,695584,695943,0,15550,40599,0,0,0
40,648958,648975,0,15949,41640,0,0,0
41,686375,687122,0,16347,42681,0,0,0
42,721542,722169,0,16746,43722,0,0,0
43,710208,711202,0,17145,44763,0,0,0
44,799541,798940,0,17543,45804,0,0,0
45,818000,818967,0,17942,46845,0,0,0
46,793833,794172,0,18341,47886,0,0,0
47,805167,806331,0,18739,48927,0,0,0
48,852625,853061,0,19138,49968,0,0,0
49,865833,866174,0,19536,51009,0,0,0
50,867208,867128,0,19935,52050,0,0,0
51,869625,869989,0,20334,53091,0,0,0
52,902667,902891,0,20732,54132,0,0,0
53,946417,946998,0,21131,55173,0,0,0
54,939583,940084,0,21530,56214,0,0,0
55,990834,991106,0,21928,57255,0,0,0
56,981667,982999,0,22327,58296,0,0,0
57,1044708,1044988,0,22725,59337,0,0,0
58,985417,987052,0,23124,60378,0,0,0
59,1996417,2000808,0,23523,61419,0,0,0
60,1015166,1016139,0,23921,62460,0,0,0
61,1056333,1055955,0,24320,63501,0,0,0
62,1056083,1057147,0,24719,64542,0,0,0
63,1066416,1066923,0,25117,65583,0,0,0
64,1092333,1092910,0,25516,66624,0,0,0
65,1068000,1068115,0,25914,67665,0,0,0
66,1085791,1085758,0,26313,68706,0,0,0
67,1103750,1105070,0,26712,69747,0,0,0
68,1147458,1147747,0,27110,70788,0,0,0
69,1123791,1124143,0,27509,71829,0,0,0
70,1180500,1180887,0,27908,72870,0,0,0
71,1231375,1232147,0,28306,73911,0,0,0
72,1176833,1177072,0,28705,74952,0,0,0
73,1209250,1209974,0,29103,75993,0,0,0
74,1294541,1296997,0,29502,77034,0,0,0
75,1296916,1298189,0,29901,78075,0,0,0
76,1237375,1237869,0,30299,79116,0,0,0
77,1260500,1260995,0,30698,80157,0,0,0
78,1273125,1274108,0,31097,81198,0,0,0
79,1316583,1317024,0,31495,82239,0,0,0
80,1289708,1293182,0,31894,83280,0,0,0
81,1350375,1350879,0,32292,84321,0,0,0
82,1352084,1353025,0,32691,85362,0,0,0
83,1370166,1370906,0,262464,86749,346,0,1
84,1340208,1341104,0,262863,87790,346,0,1
85,1364625,1365184,0,263261,88831,346,0,1
86,1419333,1420021,0,263660,89872,346,0,1
87,1438833,1439094,0,264058,90913,346,0,1
88,1465583,1464843,0,264457,91954,346,0,1
89,1437875,1438856,0,264856,92995,346,0,1
90,1472291,1472949,0,265254,94036,346,0,1
91,1520375,1521348,0,265653,95077,346,0,1
92,1528375,1528978,0,266052,96118,346,0,1
93,1603917,1605033,0,266450,97159,346,0,1
94,1598875,1599788,0,266849,98200,346,0,1
95,1526084,1527070,0,267247,99241,346,0,1
96,1582709,1582860,0,267646,100282,346,0,1
97,1551333,1552104,0,268045,101323,346,0,1
98,1638750,1639127,0,268443,102364,346,0,1
99,1600834,1601934,0,268842,103405,346,0,1
100,1795916,1796007,0,269241,104446,346,0,1
101,1691167,1692295,0,269639,105487,346,0,1
102,1668500,1668930,0,270038,106528,346,0,1
103,1687917,1687765,0,270436,107569,346,0,1
104,1678208,1679182,0,270835,108610,346,0,1
105,1728625,1729011,0,271234,109651,346,0,1
106,1696541,1698017,0,271632,110692,346,0,1
107,1796208,1795768,0,272031,111733,346,0,1
108,1749583,1749992,0,272430,112774,346,0,1
109,1750625,1750946,0,272828,113815,346,0,1
110,1805083,1805782,0,273227,114856,346,0,1
111,1762250,1763105,0,273625,115897,346,0,1
112,1799375,1800060,0,274024,116938,346,0,1
113,1875917,1875877,0,274423,117979,346,0,1
