# bench_static_markup_with_simple_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
0,0,2145,0,4,0,0,0,0
1,734125,735998,0,39,0,0,0,0
2,1750,1907,0,75,0,0,0,0
3,1291,953,0,110,0,0,0,0
4,3042,2861,0,145,0,0,0,0
5,2041,1907,0,181,0,0,0,0
6,2167,1907,0,216,0,0,0,0
7,2625,3099,0,251,0,0,0,0
8,3000,3099,0,287,0,0,0,0
9,3083,4053,0,322,0,0,0,0
10,3542,4053,0,358,0,0,0,0
11,3834,3099,0,393,0,0,0,0
12,4708,5006,0,428,0,0,0,0
13,4375,4053,0,464,0,0,0,0
14,4875,5006,0,499,0,0,0,0
15,7000,6914,0,534,0,0,0,0
16,5375,5722,0,570,0,0,0,0
17,5667,6198,0,605,0,0,0,0
18,6166,6198,0,641,0,0,0,0
19,6334,5960,0,676,0,0,0,0
20,6792,6914,0,711,0,0,0,0
21,7000,6914,0,747,0,0,0,0
22,8750,9059,0,782,0,0,0,0
23,7709,8106,0,817,0,0,0,0
24,8000,8344,0,853,0,0,0,0
25,8208,8344,0,888,0,0,0,0
26,8708,8106,0,924,0,0,0,0
27,8875,7867,0,959,0,0,0,0
28,9458,10251,0,994,0,0,0,0
29,12667,13113,0,1030,0,0,0,0
30,10583,10013,0,1065,0,0,0,0
31,10209,10013,0,1100,0,0,0,0
32,10541,10967,0,1136,0,0,0,0
33,10833,10967,0,1171,0,0,0,0
34,11292,10967,0,1207,0,0,0,0
35,11625,10967,0,1242,0,0,0,0
36,13708,13828,0,1277,0,0,0,0
37,12333,12874,0,1313,0,0,0,0
38,12417,12159,0,1348,0,0,0,0
39,12750,13113,0,1383,0,0,0,0
40,13042,13113,0,1419,0,0,0,0
41,19416,19073,0,1454,0,0,0,0
42,15542,15020,0,1490,0,0,0,0
43,14625,13828,0,1525,0,0,0,0
44,17042,16927,0,1560,0,0,0,0
45,14916,15020,0,1596,0,0,0,0
46,15625,15974,0,1631,0,0,0,0
47,15500,15735,0,1666,0,0,0,0
48,16166,16212,0,1702,0,0,0,0
49,16333,16212,0,1737,0,0,0,0
50,16708,16927,0,1773,0,0,0,0
51,21375,20980,0,1808,0,0,0,0
52,17167,17166,0,1843,0,0,0,0
53,17750,18119,0,1879,0,0,0,0
54,17917,17881,0,1914,0,0,0,0
55,18417,18119,0,1949,0,0,0,0
56,18584,19073,0,1985,0,0,0,0
57,19041,18835,0,2020,0,0,0,0
58,21000,20980,0,2056,0,0,0,0
59,19500,20027,0,2091,0,0,0,0
60,19959,19788,0,2126,0,0,0,0
61,20000,20027,0,2162,0,0,0,0
62,20542,20980,0,2197,0,0,0,0
63,21000,21219,0,2232,0,0,0,0
64,21166,20980,0,2268,0,0,0,0
65,23167,24080,0,2303,0,0,0,0
66,21875,22172,0,2339,0,0,0,0
67,22167,23126,0,2374,0,0,0,0
68,22583,21934,0,2409,0,0,0,0
69,22917,23126,0,2445,0,0,0,0
70,23250,23126,0,2480,0,0,0,0
71,23375,22888,0,2515,0,0,0,0
72,24083,23841,0,2551,0,0,0,0
73,28375,29087,0,2586,0,0,0,0
74,24875,25033,0,2622,0,0,0,0
75,24750,25033,0,2657,0,0,0,0
76,25125,25033,0,2692,0,0,0,0
77,25542,25033,0,2728,0,0,0,0
78,25750,25987,0,2763,0,0,0,0
79,26417,25749,0,2798,0,0,0,0
80,30917,30994,0,2834,0,0,0,0
81,26750,26702,0,2869,0,0,0,0
82,27250,27179,0,2905,0,0,0,0
83,27416,27894,0,2940,0,0,0,0
84,27750,27894,0,2975,0,0,0,0
85,27958,27894,0,3011,0,0,0,0
86,29500,30040,0,3046,0,0,0,0
87,31375,30994,0,3081,0,0,0,0
88,29666,30279,0,3117,0,0,0,0
89,29417,28848,0,3152,0,0,0,0
90,33250,32901,0,3188,0,0,0,0
91,30584,34093,0,3223,0,0,0,0
92,30292,30994,0,3258,0,0,0,0
93,31084,30994,0,3294,0,0,0,0
94,33458,33855,0,3329,0,0,0,0
95,31459,30994,0,3364,0,0,0,0
96,31541,31948,0,3400,0,0,0,0
97,32000,32186,0,3435,0,0,0,0
98,32250,32901,0,3471,0,0,0,0
99,37583,37908,0,3506,0,0,0,0
100,32375,32186,0,3541,0,0,0,0
101,32833,33140,0,3577,0,0,0,0
102,33084,33140,0,3612,0,0,0,0
103,33500,32901,0,3647,0,0,0,0
104,33833,33855,0,3683,0,0,0,0
105,33833,34093,0,3718,0,0,0,0
106,34333,34093,0,3754,0,0,0,0
107,34542,35047,0,3789,0,0,0,0
108,35875,36001,0,3824,0,0,0,0
109,37084,36954,0,3860,0,0,0,0
110,35750,36001,0,3895,0,0,0,0
111,36209,35762,0,3930,0,0,0,0
112,35917,36239,0,3966,0,0,0,0
113,36584,36954,0,4001,0,0,0,0
114,36959,37193,0,4037,0,0,0,0
115,47000,46968,0,4072,0,0,0,0
116,39333,38862,0,4107,0,0,0,0
117,37666,38146,0,4143,0,0,0,0
118,38584,38862,0,4178,0,0,0,0
119,38333,38146,0,4213,0,0,0,0
120,38750,38862,0,4249,0,0,0,0
