# Hand-maintained status annotations for the generated README.md.
# Format: <Module.fn | Module.*> <TAB> <green|orange|wontfix|planned> <TAB> <note>
#   green   — implemented and verified by tests whose expectations cite a JS source.
#   orange  — implemented with a known behavioral divergence (note required).
#   wontfix — raising stub kept by design (note required).
#   planned — raising stub with a specific plan (note replaces the default "Planned.").
# The generator (scripts/status/generate_status_readme.sh) hard-fails if an
# entry contradicts the code (e.g. green on a raising stub).
#
# --- Js (top-level) ---
Js.typeof	wontfix	Requires JS runtime type tags.
#
# --- Js.Array ---
Js.Array.isArray	orange	Always returns true; there is no runtime type information (Js_array.ml:10).
Js.Array.includes	orange	Uses OCaml structural equality; JS SameValueZero differs (NaN, object identity).
Js.Array.indexOf	orange	Negative ~start handling diverges from JS (audit/areas/belt-js.md).
Js.Array.lastIndexOfFrom	orange	Negative ~from handling diverges from JS (audit/areas/belt-js.md).
Js.Array.from	wontfix	Requires JS iterables; array_like values cannot be constructed natively.
Js.Array.fromMap	wontfix	Requires JS iterables; array_like values cannot be constructed natively.
Js.Array.copyWithin	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.fill	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.pop	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.push	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.pushMany	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.reverseInPlace	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.shift	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.sortInPlace	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.sortInPlaceWith	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.spliceInPlace	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.removeFromInPlace	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.removeCountInPlace	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.unshift	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
Js.Array.unshiftMany	wontfix	OCaml arrays are fixed-length; in-place JS array mutation is unsupported.
#
# --- Js.Bigint ---
Js.Bigint.of_string	orange	Rejects hex literals containing e/E digits (JS BigInt("0xE0") works) (Js_bigint.ml:56).
Js.Bigint.of_string_exn	orange	Rejects hex literals containing e/E digits (JS BigInt("0xE0") works) (Js_bigint.ml:56).
#
# --- Js.Console ---
Js.Console.*	orange	Silent no-op on the server; interface narrowed to strings vs Melange's polymorphic signature.
#
# --- Js.Date ---
Js.Date.fromFloat	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.fromString	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getDate	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getDay	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getFullYear	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getHours	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getMilliseconds	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getMinutes	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getMonth	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getSeconds	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getTime	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getTimezoneOffset	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCDate	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCDay	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCFullYear	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCHours	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCMilliseconds	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCMinutes	green	test262-derived suite: packages/Js/test/date_tests.
Js.Date.getUTCMonth	green	test262-derived suite: packages/Js/test/date_tests.
